2016-10-06 13:52:49,683 INFO  [default] Testing
2016-10-06 13:52:49,684 INFO  [default] sConfig generated
2017-04-05 12:53:22,343 INFO  [default] Testing with Bethe lattice guess, sc energy density, U = 2.5
2017-04-05 12:53:22,343 INFO  [default] Testing with Bethe lattice guess, sc energy density, U = 2.5
2017-04-05 12:53:22,343 INFO  [default] Testing with Bethe lattice guess, sc energy density, U = 2.5
2017-04-05 12:53:22,344 INFO  [default] Setting D = 1, t = D/2.0, a = 1
2017-04-05 12:53:22,344 INFO  [default] Setting D = 1, t = D/2.0, a = 1
2017-04-05 12:53:22,344 INFO  [default] Setting D = 1, t = D/2.0, a = 1
2017-04-05 12:53:22,345 INFO  [default] computing analytical solution for G_wn for U=0
2017-04-05 12:53:22,345 INFO  [default] using bethe lattice guess
2017-04-05 12:53:22,345 INFO  [default] computing analytical solution for G_wn for U=0
2017-04-05 12:53:22,345 INFO  [default] using bethe lattice guess
2017-04-05 12:53:22,345 INFO  [default] computing analytical solution for G_wn for U=0
2017-04-05 12:53:22,345 INFO  [default] using bethe lattice guess
2017-04-05 12:53:27,129 INFO  [default] initializing
2017-04-05 12:53:27,140 INFO  [default] Computing new Weiss Green's function
2017-04-05 12:53:27,690 INFO  [default] initializing
2017-04-05 12:53:27,709 INFO  [default] Computing new Weiss Green's function
2017-04-05 12:53:27,929 INFO  [default] initializing
2017-04-05 12:53:27,948 INFO  [default] Computing new Weiss Green's function
2017-04-05 12:53:34,042 INFO  [default] U=2.5, beta=64 at iteration: 1(0%) order: 68
2017-04-05 12:53:34,431 INFO  [default] U=2.5, beta=64 at iteration: 1(0%) order: 77
2017-04-05 12:53:34,668 INFO  [default] U=2.5, beta=64 at iteration: 1(0%) order: 86
2017-04-05 12:53:35,554 INFO  [default] U=2.5, beta=64 at iteration: 1(5%) order: 78
2017-04-05 12:53:35,728 INFO  [default] U=2.5, beta=64 at iteration: 1(5%) order: 87
2017-04-05 12:53:35,738 INFO  [default] U=2.5, beta=64 at iteration: 1(5%) order: 80
2017-04-05 12:53:36,763 INFO  [default] U=2.5, beta=64 at iteration: 1(10%) order: 75
2017-04-05 12:53:36,865 INFO  [default] U=2.5, beta=64 at iteration: 1(10%) order: 99
2017-04-05 12:53:37,326 INFO  [default] U=2.5, beta=64 at iteration: 1(10%) order: 93
2017-04-05 12:53:37,927 INFO  [default] U=2.5, beta=64 at iteration: 1(15%) order: 96
2017-04-05 12:53:38,055 INFO  [default] U=2.5, beta=64 at iteration: 1(15%) order: 88
2017-04-05 12:53:38,812 INFO  [default] U=2.5, beta=64 at iteration: 1(15%) order: 91
